"Year","Major#","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
2015,2,"Stan Wawrinka",8,"SUI","Novak Djokovic",1,"SRB","4–6, 6–4, 6–3, 6–4"
2015,3,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","7–6(7–1), 6–7(10–12), 6–4, 6–3"
2015,4,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","6–4, 5–7, 6–4, 6–4"
2016,1,"Novak Djokovic",1,"SRB","Andy Murray",2,"GBR","6–1, 7–5, 7–6(7–3)"
2016,2,"Novak Djokovic",1,"SRB","Andy Murray",2,"GBR","3–6, 6–1, 6–2, 6–4"
2016,3,"Andy Murray",2,"GBR","Milos Raonic",6,"CAN","6–4, 7–6(7–3), 7–6(7–2)"
2016,4,"Stan Wawrinka",3,"SUI","Novak Djokovic",1,"SRB","6–7(1–7), 6–4, 7–5, 6–3"
2017,1,"Roger Federer",17,"SUI","Rafael Nadal",9,"ESP","6–4, 3–6, 6–1, 3–6, 6–3"
2017,2,"Rafael Nadal",4,"ESP","Stan Wawrinka",3,"SUI","6–2, 6–3, 6–1"
2017,3,"Roger Federer",3,"SUI","Marin Čilić",7,"CRO","6–3, 6–1, 6–4"
2017,4,"Rafael Nadal",1,"ESP","Kevin Anderson",28,"RSA","6–3, 6–3, 6–4"
2018,1,"Roger Federer",2,"SUI","Marin Cilic",6,"CRO","6-2, 6-7(7-5), 6-3, 3-6, 6-1"
2018,2,"Rafael Nadal",1,"ESP","Dominic Thiem",7,"AUT","6-4, 6-3, 6-2"
2018,3,"Novak Djokovic",12,"SRB","Kevin Anderson",8,"RSA","6-2, 6-2, 7-6(7-3)"
2018,4,"Novak Djokovic",6,"SRB","Juan Martin del Potro",3,"ARG","6-3, 7-6(7-4), 6-3"
2019,1,"Novak Djokovic",1,"SRB","Rafael Nadal",2,"ESP","6–3, 6–2, 6–3"
2019,2,"Rafael Nadal",2,"ESP","Dominic Thiem",4,"AUT","6-3, 5-7, 6-1, 6-1"
2019,3,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","7-6(7-5), 1-6, 7-6(7-4), 4-6, 13-12(7-3)"
2019,4,"Rafael Nadal",2,"ESP","Daniil Medvedev",5,"RUS","7-5, 6-3, 5-7, 4-6, 6-4"
2020,1,"Novak Djokovic",2,"SRB","Dominic Thiem",5,"AUT","6-4, 4-6, 2-6, 6-3, 6-4"
2020,2,"Rafael Nadal",2,"ESP","Novak Djokovic",1,"SRB","6-0, 6-2, 7-5"
2020,4,"Dominic Thiem",2,"AUT","Alexander Zverev",5,"GER","2-6, 4-6, 6-4, 6-3, 7-6(8-6)"
2021,1,"Novak Djokovic",1,"SRB","Daniil Medvedev",4,"RUS","7-5, 6-2, 6-2"
