Year,Champion,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final
2005,Rafael Nadal,4,ESP,Mariano Puerta,0,ARG,"6–7(6–8), 6–3, 6–1, 7–5"
2006,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"1–6, 6–1, 6–4, 7–6(7–4)"
2007,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6–3, 4–6, 6–3, 6–4"
2008,Rafael Nadal,2,ESP,Roger Federer,1,SUI,"6–1, 6–3, 6–0"
2009,Roger Federer,2,SUI,Robin Söderling,23, SWE,"6–1, 7–6(7–1), 6–4"
2010,Rafael Nadal,2,ESP,Robin Söderling,5,SWE,"6–4, 6–2, 6–4"
2011,Rafael Nadal,1,ESP,Roger Federer,3,SUI,"7–5, 7–6(7–3), 5–7, 6–1"
2012,Rafael Nadal,2,ESP,Novak Djokovic,1,SRB,"6–4, 6–3, 2–6, 7–5"
2013,Rafael Nadal,3,ESP,David Ferrer,4,ESP,"6–3, 6–2, 6–3"
2014,Rafael Nadal,1,ESP,Novak Djokovic,2,SRB,"3–6, 7–5, 6–2, 6–4"
2015,Stan Wawrinka,8,SUI,Novak Djokovic,1,SRB,"4–6, 6–4, 6–3, 6–4"
2016,Novak Djokovic,1,SRB,Andy Murray,2,GBR,"3–6, 6–1, 6–2, 6–4"
2017,Rafael Nadal,4,ESP,Stan Wawrinka,3,SUI,"6–2, 6–3, 6–1"
2018,Rafael Nadal,1,ESP,Dominic Thiem,7,AUT,"6-4, 6-3, 6-2"
2019,Rafael Nadal,2,ESP,Dominic Thiem,4,AUT,"6-3, 5-7, 6-1, 6-1"
2020,"Rafael Nadal",2,"ESP","Novak Djokovic",1,"SRB","6-0, 6-2, 7-5"
